ticket_id,emp_id,dept_id,ticket_type,category,priority,status,raised_date,resolved_date,resolution_hrs,sla_breached,reopen_count,satisfaction_score,assigned_to
TKT00001,EMP0050,DEPT11,Change Request,Other,Low,Resolved,2022-10-20,2022-10-22 05:36:00,53.6,No,0,5,EMP0260
TKT00002,EMP0113,DEPT07,Bug,Cloud,Low,Closed,2021-08-03,2021-08-07 04:24:00,100.4,Yes,0,4,EMP0314
TKT00003,EMP0058,DEPT11,Problem,Application,High,Resolved,2021-11-26,2021-11-26 22:24:00,22.4,No,1,4,EMP0358
TKT00004,EMP0494,DEPT09,Incident,Software,Critical,In Progress,2022-11-07,2022-11-07 01:54:00,1.9,No,0,4,EMP0498
TKT00005,EMP0452,DEPT13,Problem,Network,Low,In Progress,2023-04-24,2023-04-26 05:42:00,53.7,No,0,4,EMP0390
TKT00006,EMP0460,DEPT04,Problem,Access,Low,Resolved,2023-10-12,2023-10-12 16:24:00,16.4,No,0,1,EMP0146
TKT00007,EMP0387,DEPT10,Change Request,Access,High,In Progress,2022-08-14,2022-08-15 03:54:00,27.9,Yes,2,2,EMP0033
TKT00008,EMP0392,DEPT15,Incident,Other,Critical,Closed,2023-04-01,2023-04-01 02:06:00,2.1,No,1,4,EMP0037
TKT00009,EMP0148,DEPT01,Incident,Security,Medium,In Progress,2021-03-17,2021-03-18 22:42:00,46.7,No,1,5,EMP0278
TKT00010,EMP0215,DEPT15,Problem,Other,Low,Open,2023-07-21,2023-07-25 02:36:00,98.6,Yes,0,4,EMP0154
TKT00011,EMP0497,DEPT20,Incident,Other,Low,Open,2021-06-30,2021-07-03 05:30:00,77.5,Yes,0,3,EMP0321
TKT00012,EMP0229,DEPT17,Incident,Database,Medium,Closed,2022-10-07,2022-10-07 08:18:00,8.3,No,1,3,EMP0315
TKT00013,EMP0167,DEPT13,Change Request,Network,Medium,Closed,2022-06-01,2022-06-01 06:12:00,6.2,No,0,4,EMP0466
TKT00014,EMP0127,DEPT07,Service Request,Cloud,Low,Reopened,2022-10-25,2022-10-27 14:06:00,62.1,No,0,4,EMP0049
TKT00015,EMP0340,DEPT06,Bug,Other,Medium,Resolved,2021-08-26,2021-08-26 18:48:00,18.8,No,0,5,EMP0490
TKT00016,EMP0218,DEPT04,Service Request,Security,Low,In Progress,2023-04-08,2023-04-10 00:42:00,48.7,No,0,4,EMP0114
TKT00017,EMP0060,DEPT02,Incident,Cloud,High,Resolved,2023-11-20,2023-11-21 08:24:00,32.4,Yes,0,3,EMP0335
TKT00018,EMP0091,DEPT13,Problem,Email,Medium,Resolved,2021-01-03,2021-01-03 11:36:00,11.6,No,1,4,EMP0173
TKT00019,EMP0238,DEPT04,Bug,Network,Low,Resolved,2023-08-05,2023-08-07 21:30:00,69.5,No,0,4,EMP0451
TKT00020,EMP0490,DEPT07,Bug,Access,Medium,Resolved,2023-04-27,2023-04-29 19:12:00,67.2,Yes,1,4,EMP0316
TKT00021,EMP0164,DEPT07,Problem,Email,Medium,Open,2021-04-22,2021-04-24 00:12:00,48.2,Yes,1,3,EMP0316
TKT00022,EMP0339,DEPT19,Bug,Cloud,Critical,Open,2022-01-20,2022-01-20 02:18:00,2.3,No,2,3,EMP0457
TKT00023,EMP0059,DEPT10,Problem,Cloud,Medium,Closed,2023-11-28,2023-11-30 02:42:00,50.7,Yes,0,4,EMP0090
TKT00024,EMP0178,DEPT07,Bug,Network,Low,Resolved,2023-01-11,2023-01-15 01:48:00,97.8,Yes,0,2,EMP0492
TKT00025,EMP0357,DEPT19,Service Request,Application,High,Closed,2023-10-18,2023-10-18 21:06:00,21.1,No,2,3,EMP0280
TKT00026,EMP0204,DEPT10,Bug,Database,Low,Resolved,2023-06-25,2023-06-27 08:06:00,56.1,No,0,3,EMP0184
TKT00027,EMP0361,DEPT12,Change Request,Access,Critical,Closed,2021-04-16,2021-04-16 05:42:00,5.7,Yes,0,5,EMP0178
TKT00028,EMP0066,DEPT15,Problem,Email,Medium,Resolved,2022-02-21,2022-02-22 11:48:00,35.8,No,0,2,EMP0390
TKT00029,EMP0397,DEPT02,Bug,Other,Medium,Open,2022-07-01,2022-07-02 08:00:00,32.0,No,0,4,EMP0385
TKT00030,EMP0452,DEPT08,Problem,Software,Low,Reopened,2021-09-26,2021-09-29 19:18:00,91.3,Yes,0,4,EMP0125
TKT00031,EMP0248,DEPT19,Change Request,Application,Medium,Resolved,2022-08-13,2022-08-15 08:24:00,56.4,Yes,0,4,EMP0466
TKT00032,EMP0431,DEPT09,Bug,Access,High,Resolved,2023-06-17,2023-06-18 04:30:00,28.5,Yes,0,4,EMP0192
TKT00033,EMP0413,DEPT07,Bug,Software,High,Closed,2023-09-20,2023-09-20 19:54:00,19.9,No,0,4,EMP0352
TKT00034,EMP0443,DEPT17,Change Request,Database,Low,Resolved,2021-09-06,2021-09-06 01:24:00,1.4,No,1,4,EMP0291
TKT00035,EMP0251,DEPT01,Change Request,Software,Low,Closed,2021-03-01,2021-03-05 07:06:00,103.1,Yes,0,3,EMP0175
TKT00036,EMP0308,DEPT10,Change Request,Other,High,Closed,2022-05-06,2022-05-07 05:36:00,29.6,Yes,0,4,EMP0076
TKT00037,EMP0211,DEPT01,Problem,Software,Critical,Resolved,2021-11-21,2021-11-21 03:24:00,3.4,No,2,5,EMP0024
TKT00038,EMP0352,DEPT07,Change Request,Application,Low,Closed,2022-09-29,2022-10-01 13:42:00,61.7,No,0,5,EMP0186
TKT00039,EMP0121,DEPT06,Problem,Hardware,Medium,Closed,2021-01-29,2021-01-31 19:24:00,67.4,Yes,1,4,EMP0199
TKT00040,EMP0015,DEPT11,Service Request,Application,Medium,In Progress,2023-04-16,2023-04-17 02:30:00,26.5,No,0,5,EMP0037
TKT00041,EMP0149,DEPT07,Bug,Other,High,Resolved,2021-07-10,2021-07-11 00:54:00,24.9,Yes,1,5,EMP0018
TKT00042,EMP0138,DEPT16,Bug,Email,Low,In Progress,2022-04-06,2022-04-07 19:54:00,43.9,No,0,4,EMP0031
TKT00043,EMP0260,DEPT13,Incident,Hardware,Low,Resolved,2021-08-21,2021-08-23 20:42:00,68.7,No,0,4,EMP0209
TKT00044,EMP0111,DEPT11,Service Request,Database,High,Closed,2023-08-04,2023-08-05 10:36:00,34.6,Yes,0,4,EMP0494
TKT00045,EMP0456,DEPT15,Change Request,Application,Low,Resolved,2021-08-29,2021-08-29 10:42:00,10.7,No,0,5,EMP0250
TKT00046,EMP0436,DEPT13,Change Request,Hardware,Medium,In Progress,2021-11-12,2021-11-13 15:00:00,39.0,No,0,4,EMP0292
TKT00047,EMP0401,DEPT20,Service Request,Cloud,Medium,Resolved,2023-10-18,2023-10-20 21:12:00,69.2,Yes,1,5,EMP0482
TKT00048,EMP0210,DEPT06,Change Request,Application,Medium,Closed,2022-08-21,2022-08-21 06:42:00,6.7,No,0,2,EMP0296
TKT00049,EMP0032,DEPT16,Incident,Hardware,Medium,Resolved,2023-11-09,2023-11-10 09:36:00,33.6,No,1,3,EMP0007
TKT00050,EMP0288,DEPT16,Problem,Network,Medium,Closed,2022-07-14,2022-07-16 07:24:00,55.4,Yes,0,3,EMP0330
TKT00051,EMP0396,DEPT18,Bug,Email,Low,Closed,2023-05-01,2023-05-03 22:18:00,70.3,No,0,3,EMP0010
TKT00052,EMP0166,DEPT20,Service Request,Access,Medium,Open,2023-09-16,2023-09-16 13:30:00,13.5,No,3,5,EMP0204
TKT00053,EMP0134,DEPT10,Bug,Software,High,In Progress,2023-08-26,2023-08-26 02:24:00,2.4,No,2,3,EMP0293
TKT00054,EMP0346,DEPT08,Problem,Hardware,High,Resolved,2022-05-15,2022-05-15 14:24:00,14.4,No,0,4,EMP0220
TKT00055,EMP0163,DEPT03,Service Request,Access,Low,Closed,2023-07-25,2023-07-25 21:24:00,21.4,No,1,2,EMP0483
TKT00056,EMP0211,DEPT20,Problem,Application,Low,Closed,2021-10-24,2021-10-27 03:30:00,75.5,Yes,0,3,EMP0468
TKT00057,EMP0201,DEPT04,Change Request,Access,Low,Resolved,2023-02-25,2023-03-01 00:54:00,96.9,Yes,0,3,EMP0466
TKT00058,EMP0415,DEPT01,Change Request,Cloud,Medium,Resolved,2022-01-26,2022-01-27 21:48:00,45.8,No,0,5,EMP0423
TKT00059,EMP0227,DEPT01,Change Request,Security,Medium,In Progress,2023-11-07,2023-11-08 02:30:00,26.5,No,3,4,EMP0281
TKT00060,EMP0218,DEPT20,Problem,Security,High,Closed,2021-10-07,2021-10-07 04:00:00,4.0,No,3,4,EMP0031
TKT00061,EMP0205,DEPT02,Problem,Email,Low,In Progress,2021-05-23,2021-05-25 20:42:00,68.7,No,0,5,EMP0038
TKT00062,EMP0134,DEPT01,Problem,Hardware,Low,Closed,2022-07-20,2022-07-23 07:42:00,79.7,Yes,1,5,EMP0280
TKT00063,EMP0468,DEPT09,Bug,Cloud,Medium,In Progress,2023-04-30,2023-04-30 10:54:00,10.9,No,1,4,EMP0199
TKT00064,EMP0028,DEPT01,Problem,Software,High,Open,2022-11-28,2022-11-28 07:48:00,7.8,No,0,3,EMP0368
TKT00065,EMP0138,DEPT10,Change Request,Database,Low,Resolved,2023-11-06,2023-11-09 06:00:00,78.0,Yes,0,3,EMP0225
TKT00066,EMP0249,DEPT15,Incident,Other,Medium,Resolved,2022-07-02,2022-07-03 19:06:00,43.1,No,0,1,EMP0245
TKT00067,EMP0373,DEPT13,Problem,Email,Low,Resolved,2021-01-06,2021-01-08 05:18:00,53.3,No,0,3,EMP0135
TKT00068,EMP0113,DEPT19,Incident,Other,High,In Progress,2022-08-03,2022-08-03 03:12:00,3.2,No,1,3,EMP0023
TKT00069,EMP0174,DEPT06,Change Request,Security,High,Closed,2022-09-04,2022-09-04 19:54:00,19.9,No,0,1,EMP0399
TKT00070,EMP0326,DEPT04,Problem,Network,Low,Resolved,2023-09-30,2023-10-01 09:54:00,33.9,No,0,5,EMP0357
TKT00071,EMP0420,DEPT02,Bug,Database,Low,Resolved,2021-11-01,2021-11-03 10:06:00,58.1,No,0,5,EMP0459
TKT00072,EMP0024,DEPT12,Bug,Database,Medium,Resolved,2023-07-04,2023-07-06 12:12:00,60.2,Yes,1,3,EMP0124
TKT00073,EMP0158,DEPT07,Incident,Other,Low,Resolved,2023-09-19,2023-09-21 01:06:00,49.1,No,0,5,EMP0246
TKT00074,EMP0230,DEPT07,Bug,Network,High,Open,2022-12-08,2022-12-09 11:54:00,35.9,Yes,0,4,EMP0257
TKT00075,EMP0210,DEPT14,Bug,Application,High,Reopened,2022-11-12,2022-11-12 02:18:00,2.3,No,0,3,EMP0137
TKT00076,EMP0114,DEPT12,Bug,Access,High,Resolved,2023-02-12,2023-02-12 03:00:00,3.0,No,0,4,EMP0356
